Chrom	Pos	Gene	Profile	b	a	c	d
1	150667327	GOLPH3L	0110	0.0	0.179	0.303	0.0
1	152185695	HRNR	0110	0.0	0.156	0.27699999999999997	0.0
1	154951221	CKS1B	0111	0.0	0.2	0.445	0.46
1	162606747	DDR2	0111	0.0	0.182	0.604	0.55
1	172300323	DNM3	0111	0.0	0.25	0.24600000000000002	0.204
1	172300385	DNM3	0111	0.0	0.215	0.204	0.205
1	246101237	SMYD3	0111	0.0	0.081	0.33799999999999997	0.233
1	246101259	SMYD3	0111	0.0	0.07	0.33899999999999997	0.256
10	7378258	SFMBT2	0110	0.0	0.07400000000000001	0.17300000000000001	0.0
10	7378428	SFMBT2	0110	0.0	0.121	0.188	0.0
10	8725014	-	0110	0.0	0.39	0.44	0.0
10	8725081	-	0110	0.0	0.382	0.428	0.0
10	8725209	-	0110	0.0	0.273	0.386	0.0
10	8725228	-	0110	0.0	0.268	0.375	0.0
10	8725235	-	0110	0.0	0.262	0.368	0.003
10	8725293	-	0110	0.0	0.293	0.376	0.004
10	8725337	-	0110	0.0	0.293	0.40700000000000003	0.006999999999999999
10	8725721	-	0110	0.0	0.319	0.43799999999999994	0.0
10	8726042	-	0110	0.0	0.301	0.419	0.004
10	8726056	-	0110	0.0	0.28800000000000003	0.426	0.0
10	8726217	-	0110	0.0	0.27399999999999997	0.413	0.0
10	8726273	-	0110	0.0	0.298	0.401	0.0
10	8726357	-	0110	0.0	0.301	0.371	0.003
10	8726407	-	0110	0.0	0.312	0.377	0.0
10	8727536	-	0110	0.0	0.34299999999999997	0.431	0.0
10	8727605	-	0110	0.0	0.313	0.451	0.005
10	10395013	-	0110	0.0	0.235	0.284	0.0
10	15306305	FAM171A1	0111	0.0	0.129	0.45799999999999996	0.45899999999999996
10	45531792	-	0100	0.0	0.036000000000000004	0.0	0.0
10	53894515	PRKG1	0110	0.0	0.222	0.326	0.0
10	53895219	PRKG1	0110	0.0	0.177	0.26	0.0
10	53895293	PRKG1	0110	0.0	0.124	0.264	0.0
10	53895511	PRKG1	0110	0.0	0.183	0.289	0.0
10	53895543	PRKG1	0110	0.0	0.18600000000000003	0.29600000000000004	0.0
10	71767936	-	0111	0.0	0.078	0.133	0.17
10	71767948	-	0111	0.0	0.08	0.133	0.16899999999999998
10	71768008	-	0111	0.0	0.071	0.106	0.163
10	71768025	-	0111	0.0	0.067	0.102	0.171
10	74149628	CBARA1	0110	0.0	0.07200000000000001	0.048	0.0
10	74149688	CBARA1	0110	0.0	0.059000000000000004	0.07	0.0
10	78866441	KCNMA1	0110	0.0	0.027000000000000003	0.062	0.0
10	82045929	MAT1A	0111	0.0	0.03	0.05	0.025
10	82118195	DYDC2	0111	0.0	0.614	0.737	0.349
10	82118262	DYDC2	0111	0.0	0.628	0.752	0.39
10	82118404	DYDC2	0111	0.0	0.706	0.7709999999999999	0.5
2	203421236	BMPR2	0110	0.0	0.242	0.445	0.0
3	141164731	ZBTB38	0111	0.0	0.14800000000000002	0.428	0.22899999999999998
11	126934639	-	0111	0.0	0.2	0.42200000000000004	0.281
11	126934818	-	0111	0.0	0.18	0.37200000000000005	0.139
11	126934876	-	0111	0.0	0.24100000000000002	0.38	0.17600000000000002
11	126934907	-	0111	0.0	0.24600000000000002	0.387	0.191
11	126936350	-	0111	0.0	0.16699999999999998	0.449	0.156
11	126936422	-	0111	0.0	0.19899999999999998	0.385	0.154
3	169644769	SAMD7	0111	0.0	0.204	0.35	0.149
12	67505223	-	0111	0.0	0.222	0.48700000000000004	0.318
12	78598705	NAV3	0100	0.0	0.032	0.0	0.0
12	80501963	-	0100	0.0	0.087	0.0	0.0
12	84370995	-	0110	0.0	0.384	0.45299999999999996	0.0
12	86871926	-	0111	0.0	0.22899999999999998	0.584	0.29600000000000004
3	178952085	PIK3CA	0111	0.0	0.267	0.324	0.19899999999999998
4	70284711	UGT2B28	0111	0.0	0.157	0.43	0.465
14	28261931	-	0111	0.0	0.111	0.34	0.2
4	128595321	INTU	0111	0.0	0.17800000000000002	0.308	0.131
14	79002835	-	0101	0.0	0.136	0.0	0.08800000000000001
5	917195	TRIP13	0110	0.0	0.098	0.106	0.0
