ID	SV	Normal_FORMAT	Normal_GenomeCounts	S8404_3_FORMAT	S8404_3_GenomeCounts	S8404_4_FORMAT	S8404_4_GenomeCounts	S8191_6_FORMAT	S8191_6_GenomeCounts
1	1:59059628-59059942	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	315;9;13;1;6;26;375	0	0	0	0
2	1:62082868-62083722	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	855;8;10;1;8;52;375	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	873;13;6;1;6;41;411
3	2:43129275-43129608	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	334;3;7;0;10;10;375	0	0	0	0
4	2:44783582-44783917	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	336;6;10;2;12;20;375	0	0	0	0
5	2:46312678-46312952	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	275;6;10;2;9;18;375	0	0	0	0
6	2:48781808-48784879	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	3072;6;7;0;6;132;375	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	3032;4;9;1;6;57;411
7	2:49612863-49613217	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	355;2;8;1;7;10;375	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	325;6;2;1;7;8;411
8	4:55808666-55808950	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	285;7;5;1;7;12;375	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	274;2;5;2;8;7;411
9	4:61939172-61942247	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	3076;11;5;0;9;92;375	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	3079;2;7;1;10;69;411
10	8:27684062-27684382	0	0	SIZE;N_A;N_B;SR;DRP;CRP;FRAG_LEN	321;6;12;0;6;24;375	0	0	0	0
